id,label,count,x,y,data,group
0,ecofriendly,1,0.30723727623153757,0.339673535048311,,
1,cleanenergy,1,0.3072009198981866,0.34087848770252555,,
2,plantpower,1,0.30638584296402965,0.33612274375721474,,
3,environmentalist,1,0.2996405764311012,0.3391700199779656,,
4,global,1,0.3011737410847962,0.3380427557914529,,
5,saveourplanet,1,0.30263290441945284,0.3401440775632942,,
6,mothernaturerocks,1,0.3067802252222276,0.3368767000286365,,
7,conservation,1,0.3007927101193059,0.3452439948226183,,
8,savetheworld,1,0.3064773397047296,0.3430661614384528,,
9,environmental,1,0.3014189661148439,0.34136312507072836,,
10,solarpower,1,0.3069218741338896,0.3346249651657313,,
11,everydayclimatechange,1,0.29549185178030923,0.3492107924284147,,
12,pollution,1,0.2959325084413429,0.3442009644873798,,
13,savetheplanet,1,0.30622366886424834,0.34196931250639573,,
14,ecotourism,1,0.30496834691997726,0.33625738531894755,,
15,environment,1,0.2985665196753065,0.34508721136262965,,
16,climatechange,1,0.29873423722182035,0.34651766880888585,,
17,arctic,1,0.3058753564447251,0.34988885068777,,
18,climate,1,0.2982820763628379,0.343913194969244,,
19,renewableenergy,1,0.3072604316631813,0.33809984593716114,,
20,preservation,1,0.30845730935409055,0.3377552882477532,,
21,globalwarming,1,0.2998343328379819,0.34596789217093143,,
22,warming,1,0.30767080432398497,0.3365949520807567,,
23,endangered,1,0.3083998927658248,0.33694554953617895,,
24,renewable,1,0.30542745624012807,0.33783476402470475,,
25,eco,1,0.2993493252575266,0.3372081951139156,,
26,sustainableliving,1,0.3124602028705165,0.33344320421744167,,
27,environmentallyfriendly,1,0.30577081415278334,0.33550407963855583,,
28,motherearth,1,0.30746519924109883,0.3357691070140258,,
29,westcoast,1,0.2926743229414314,0.3813155085567719,,
31,broadmag,1,0.2880261220752094,0.38165437097240357,,
32,everydayusa,1,0.2907941024667441,0.3759976194994994,,
33,istillshootfilm_official,1,0.2915652165047796,0.38221592259100157,,
35,metroimaging,1,0.2893145802882132,0.375603978991894,,
36,oregon,1,0.2942936805599954,0.36145290386078915,,
37,pnw,1,0.28582471668291093,0.3785959903153442,,
38,mediumformat,1,0.28233533535179695,0.3631431429390313,,
39,rentalmag,1,0.28572703827735063,0.37514048480361234,,
40,kodakportra,1,0.2870794881719001,0.3789132666078767,,
41,rolleiflex,1,0.2846731342212981,0.3789786370004151,,
42,californiadrought,1,0.2904644650172734,0.3820407917550146,,
43,filmsnotdead,1,0.29018460538096574,0.37531186860207966,,
44,westcoastbestcoast,1,0.28560580246924633,0.3799218381717262,,
45,metroprint,1,0.2915984265418894,0.3755707411863998,,
47,california,1,0.29655917337105153,0.3518489109154975,,
48,analogphotography,1,0.28505781408407227,0.37327662261824235,,
49,analog,1,0.28846020238034314,0.3800643445326533,,
50,thefilmcommunity,1,0.29295454156179124,0.3824305326052061,,
51,documentaryphotography,1,0.29295578001071976,0.3550298580263554,,
53,everydayeverywhere,1,0.2871932274208578,0.35345234749864507,,
54,pacificnorthwest,1,0.28687776135072357,0.3802196322682781,,
55,fisheyelemag,1,0.28947161060734,0.38202479610959844,,
56,kurdistan,1,0.2674306183456981,0.3490110417036632,,
57,sociallensmag,1,0.2676748761546982,0.3503479199553646,,
58,lensculture,1,0.2858315301938993,0.34826332633250523,,
59,instagram,1,0.28783833398570047,0.35300058241826343,,
60,bukan,1,0.2691719851139067,0.3511493304344267,,
61,iran,1,0.28122864059008335,0.349609452595938,,
62,hikaricreative,1,0.28012590288838224,0.3505827018383713,,
63,roozdaily,1,0.27358366824714736,0.34937230246186607,,
64,everydayiran,1,0.2819142802369059,0.35075191792196264,,
65,middleeast,1,0.2677718548028964,0.3523918899953409,,
66,lenspersia,1,0.26961975248529263,0.3464524872964444,,
67,blackandwhitephotography,1,0.2895940353210192,0.3609741192470128,,
68,reportagespotlight,1,0.2879978487346645,0.35116200724622015,,
69,outofthephone,1,0.2778833673894282,0.3558925486469862,,
70,akasimagazine,1,0.2786839051047536,0.3572867928627865,,
71,streetphotographers,1,0.2739829427416868,0.3507658224858386,,
72,aksiine,1,0.26926048660245616,0.34755647096082404,,
75,hollywood,1,0.28773290883196373,0.2843737634801308,,
76,cityscape,1,0.3080037828562171,0.35767804708937206,,
77,metropolis,1,0.33344027981727364,0.357941888736596,,
79,hasselblad,1,0.30835432057955503,0.36009642589509633,,
81,landscape,1,0.29870069662985316,0.3498349070881227,,
84,nightphotography,1,0.3167868310253709,0.36026688706506854,,
86,agriculture,1,0.2953133663123892,0.36465963731821177,,
87,photojournalism,1,0.28747120547956545,0.3520148245679924,,
88,monoart,1,0.3252120961992442,0.31106761454304055,,
90,earth,1,0.29468886312701764,0.3465972476504394,,
91,myfeatureshoot,1,0.28938184818611223,0.3529764368538051,,
95,one_shot_,1,0.2671392742093438,0.34250684896889516,,
96,uncoveriran,1,0.2696661944949754,0.3484930836282674,,
100,documentary,1,0.2878918123834879,0.35033076614079617,,
102,picoftheday,1,0.292035693151735,0.34904581582695876,,
103,streetphotography,1,0.2852035704634703,0.35487418402863796,,
104,gettyreportage,1,0.28457517437394836,0.3460329526011858,,
105,sky,1,0.29208192937176786,0.3568988463011417,,
107,ganges,1,0.28636942894952494,0.34033360778988164,,
108,river,1,0.2879008945174669,0.3495693409068017,,
109,everydayindia,1,0.2949854364266666,0.35453425697981533,,
110,water,1,0.2933012075848942,0.34747979047875455,,
111,asia,1,0.29731590932625745,0.3479584513983793,,
112,india,1,0.2959471259692598,0.35510712685452245,,
113,flood,1,0.28977572330041623,0.34338239551731814,,
